Id,Label,Degree,Betweenness,Expression
MIMAT0027402,hsa-miR-6751-5p,1,0,0
MIMAT0027405,hsa-miR-6752-3p,1,0,0
MIMAT0027429,hsa-miR-6764-3p,1,0,0
MIMAT0027431,hsa-miR-6765-3p,1,0,0
MIMAT0027454,hsa-miR-6777-5p,1,0,0
MIMAT0027457,hsa-miR-6778-3p,1,0,0
MIMAT0027480,hsa-miR-6790-5p,1,0,0
MIMAT0027483,hsa-miR-6791-3p,1,0,0
MIMAT0027487,hsa-miR-6793-3p,1,0,0
MIMAT0027489,hsa-miR-6794-3p,1,0,0
MIMAT0027506,hsa-miR-6803-5p,1,0,0
MIMAT0027519,hsa-miR-6809-3p,1,0,0
MIMAT0027535,hsa-miR-6817-3p,1,0,0
MIMAT0027549,hsa-miR-6824-3p,1,0,0
MIMAT0027557,hsa-miR-6828-3p,1,0,0
MIMAT0027559,hsa-miR-6829-3p,1,0,0
MIMAT0027573,hsa-miR-6780b-3p,1,0,0
MIMAT0027587,hsa-miR-6842-3p,1,0,0
MIMAT0027592,hsa-miR-6846-5p,1,0,0
MIMAT0027596,hsa-miR-6848-5p,1,0,0
MIMAT0027633,hsa-miR-6866-3p,1,0,0
MIMAT0027641,hsa-miR-6870-3p,1,0,0
MIMAT0027647,hsa-miR-6873-3p,1,0,0
MIMAT0027648,hsa-miR-6874-5p,1,0,0
MIMAT0027668,hsa-miR-6884-5p,1,0,0
MIMAT0027678,hsa-miR-6889-5p,1,0,0
MIMAT0027683,hsa-miR-6891-3p,1,0,0
MIMAT0027687,hsa-miR-6893-3p,1,0,0
MIMAT0028110,hsa-miR-7106-3p,1,0,0
MIMAT0028115,hsa-miR-7109-5p,1,0,0
MIMAT0028118,hsa-miR-7110-3p,1,0,0
MIMAT0028124,hsa-miR-7113-3p,1,0,0
MIMAT0028215,hsa-miR-7152-3p,1,0,0
MIMAT0030418,hsa-miR-6516-3p,1,0,0
MIMAT0030430,hsa-miR-7855-5p,1,0,0
MIMAT0030982,hsa-miR-8055,1,0,0
MIMAT0030990,hsa-miR-8063,1,0,0
MIMAT0031008,hsa-miR-8081,1,0,0
MIMAT0031012,hsa-miR-8085,1,0,0
MIMAT0031177,hsa-miR-7974,1,0,0
MIMAT0031890,hsa-miR-203a-5p,1,0,0
MIMAT0031892,hsa-miR-1-5p,1,0,0
MIMAT0032116,hsa-miR-4485-5p,1,0,0
MIMAT0033692,hsa-miR-8485,1,0,0
